name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
"Realme Book 11th Gen i5-1135G7 2.4 to 4.2GHz, 8GB, 512GB SSD, Win 10 Home, 14 Inch 2K IPS Laptop",313982937,79000.0,74700.0,,0.0,0,Chattogram,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/realme-book-11th-gen-i5-1135g7-24-to-42ghz-8gb-512gb-ssd-win-10-home-14-inch-2k-ips-laptop-i313982937.html,https://static-01.daraz.com.bd/p/4a01ef0ed4bbf5b859e1c4ad160c1130.jpg
HP 255 G9 AMD Ryzen 3 8GB DDR4 RAM 256GB Nvme SSD 15 6 Inch FHD Laptop,326851438,-1.0,61000.0,,0.0,0,Dhaka,Tech Source,700513359360,6,//www.daraz.com.bd/products/hp-255-g9-amd-ryzen-3-8gb-ddr4-ram-256gb-nvme-ssd-15-6-inch-fhd-laptop-i326851438.html,https://static-01.daraz.com.bd/p/91aee02ceda6a2418c09f7f68be2b85b.jpg
ASUS Vivobook 15 (X1504VA-NJ261W) 13TH Gen Core i5-1335U 8GB RAM 512GB SSD 15.6Inch FHD Laptop,347866818,88500.0,84200.0,,0.0,0,Chattogram,I-CROWN,700507341076,0,//www.daraz.com.bd/products/asus-vivobook-15-x1504va-nj261w-13th-gen-core-i5-1335u-8gb-ram-512gb-ssd-156inch-fhd-laptop-i347866818.html,https://static-01.daraz.com.bd/p/54c0f6f4a59929869af37600c9027a76.png
ASUS TUF Gaming A15 FX507VV-LP151W 13th Gen Core-i7 Gaming Laptop,393208124,209890.0,204375.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/asus-tuf-gaming-a15-fx507vv-lp151w-13th-gen-core-i7-gaming-laptop-i393208124.html,https://static-01.daraz.com.bd/p/eed947b650fc04ff7ebac9e0715adc25.jpg
ASUS Vivobook X1504ZA Intel Core i3 12th Gen 8GB DDR4 RAM 256 GB SSD 15.6 Inch FHD Laptop,326859111,-1.0,65000.0,,0.0,0,Dhaka,Tech Source,700513359360,8,//www.daraz.com.bd/products/asus-vivobook-x1504za-intel-core-i3-12th-gen-8gb-ddr4-ram-256-gb-ssd-156-inch-fhd-laptop-i326859111.html,https://static-01.daraz.com.bd/p/c420a759ed10ce47b0520bf2ba4d020a.jpg
Acer Aspire 7 A715 AMD Ryzen 5 8GB RAM 512 GB SSD 4GB GeForce GTX Graphics 15.6 Inch Gaming Laptop,323339155,95500.0,92000.0,,0.0,0,Dhaka,Intimacy Computer & Solutions,700518771541,0,//www.daraz.com.bd/products/acer-aspire-7-a715-amd-ryzen-5-8gb-ram-512-gb-ssd-4gb-geforce-gtx-graphics-156-inch-gaming-laptop-i323339155.html,https://static-01.daraz.com.bd/p/da687ffd535bb6985a6bbadf6d8b6eb1.jpg
"Acer Predator Helios Neo 16 PHN16-71-553K (NH.QLTSI.001) 13th Gen i5-13500HX 3.5 to 4.7GHz, 16GB, 512GB SSD, RTX4050 6GB, WIN 11, 16 Inch WQXGA Gaming Laptop",323278624,170000.0,164500.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/acer-predator-helios-neo-16-phn16-71-553k-nhqltsi001-13th-gen-i5-13500hx-35-to-47ghz-16gb-512gb-ssd-rtx4050-6gb-win-11-16-inch-wqxga-gaming-laptop-i323278624.html,https://static-01.daraz.com.bd/p/7944698c7f9600859ee16b10408f691e.png
"Gigabyte Aorus 15 XE4 12th Gen i7-12700H 2.3 to 4.7GHz,16GB, 1TB SSD, RTX3070Ti GDDR6 8GB,Windows 11, 15.6 Inch FHD IPS Gaming Laptop",280334409,252000.0,245599.0,,0.0,0,Chattogram,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/gigabyte-aorus-15-xe4-12th-gen-i7-12700h-23-to-47ghz16gb-1tb-ssd-rtx3070ti-gddr6-8gbwindows-11-156-inch-fhd-ips-gaming-laptop-i280334409.html,https://static-01.daraz.com.bd/p/66ac8c3025a88e1d6a726ecdf2dc533b.jpg
"Lenovo IdeaPad Slim 3i 15IRH8(83EM000MLK) Intel Core i5 13420H 8GB RAM, 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop",352943305,86000.0,84600.0,,0.0,0,,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/lenovo-ideapad-slim-3i-15irh883em000mlk-intel-core-i5-13420h-8gb-ram-512gb-ssd-156-inch-fhd-display-arctic-grey-laptop-i352943305.html,https://static-01.daraz.com.bd/p/f8804492be714d3d817ed3d03699e9cc.png
"Apple MacBook Pro MTL73 M3 Chip 2.75 to 4.05GHz, 8GB, 512GB SSD, 14.2 Inch Liquid Retina XDR Laptop (Late 2023)",352458091,225000.0,218000.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/apple-macbook-pro-mtl73-m3-chip-275-to-405ghz-8gb-512gb-ssd-142-inch-liquid-retina-xdr-laptop-late-2023-i352458091.html,https://static-01.daraz.com.bd/p/d0e3d1e2084fd1a2571f28454f602300.png
